Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-Aug-25,1592.75,1601.5,1585,1592.3,1593.749836,45630,3305,72722805,23898,52.37,16.5,-0.45
21-Aug-25,1526.9,1595.5,1526.9,1592.8,1577.183712,29568,1807,46634168,15192,51.38,68.6,65.9
20-Aug-25,1536.85,1557,1532.65,1545.85,1544.314602,19504,1895,30120312,8894,45.6,24.35,9
19-Aug-25,1564.4,1567,1544.5,1548.9,1561.862039,54153,2229,84579515,41092,75.88,22.5,-15.5
18-Aug-25,1563.2,1572,1557.15,1564.4,1565.091576,57548,1879,90067890,47741,82.96,14.85,1.2
14-Aug-25,1561.85,1574,1553,1563.75,1563.398397,44300,2884,69258549,25967,58.62,21,1.9
13-Aug-25,1516.65,1567.5,1516.65,1561.85,1552.073142,34563,1977,53644304,17490,50.6,50.85,45.2
12-Aug-25,1510.8,1524.8,1503,1520.7,1519.699905,95673,3399,145394249,58573,61.22,21.8,9.9
11-Aug-25,1489.95,1508.45,1481,1503.45,1498.162848,11041,1237,16541216,4416,40,27.45,13.5
08-Aug-25,1486.9,1493.8,1478.1,1485.45,1486.056556,11157,1456,16579933,6473,58.02,15.7,-1.45
07-Aug-25,1479.45,1499,1464.25,1491.4,1472.323087,90341,4381,133011140,59390,65.74,34.75,11.95
06-Aug-25,1489.15,1496.5,1475.05,1487.1,1485.349984,150204,4557,223105509,133272,88.73,21.45,-2.05
05-Aug-25,1515.4,1517.95,1491.15,1499.25,1501.848467,16729,1878,25124423,9860,58.94,26.8,-16.15
04-Aug-25,1505.2,1519,1505.2,1515.45,1512.477018,8224,784,12438611,2651,32.23,13.8,10.25
01-Aug-25,1540.35,1548.4,1493.75,1501.2,1512.403095,108617,4508,164272687,59985,55.23,54.65,-39.15
31-Jul-25,1535.5,1564.3,1535.5,1554.2,1546.329451,57262,4088,88545917,30991,54.12,28.8,18.7
30-Jul-25,1575,1579.5,1551.05,1559.8,1565.216303,38238,3441,59850741,20813,54.43,28.45,-15.2
29-Jul-25,1569.85,1579,1560.35,1574,1570.971826,27153,2121,42656598,11765,43.33,18.65,4.15
28-Jul-25,1536,1577.45,1520,1570.95,1558.689554,158572,7535,247164520,71218,44.91,57.45,34.95
25-Jul-25,1487,1553,1470,1531.1,1521.906757,262723,16654,399839909,123363,46.96,83,44.1
24-Jul-25,1473.35,1489.05,1470.45,1487.25,1481.454327,25420,1567,37658569,11724,46.12,18.6,13.9
23-Jul-25,1467.95,1475.95,1462.05,1473.35,1467.318576,97465,4272,143012205,81431,83.55,13.9,5.4
22-Jul-25,1475.5,1475.55,1454.5,1465,1464.933086,145292,5846,212843058,118122,81.3,21.05,-10.5
21-Jul-25,1484.95,1484.95,1468.3,1475.5,1475.417151,40115,1755,59186359,34369,85.68,16.65,-9.45
18-Jul-25,1489.95,1489.95,1470,1482.05,1474.912362,79372,3108,117066744,60536,76.27,19.95,-7.9
17-Jul-25,1479.75,1488,1472.6,1482.45,1481.852895,12814,1030,18988463,5967,46.57,15.4,2.7
16-Jul-25,1476.3,1481.85,1469.8,1473.7,1476.515348,37074,4086,54740330,17458,47.09,12.05,-2.6
15-Jul-25,1475.7,1492.65,1469.2,1490.9,1481.183498,18992,1471,28130637,6025,31.72,23.45,15.2
14-Jul-25,1485.35,1492.95,1476.5,1484.6,1485.271957,22897,2414,34008272,9445,41.25,16.45,-0.75
