# CSV-File created with merge-csv.com,,,,,,,,,,,,
# -----------------------------------------------------------,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-Aug-25,702.95,702.95,689,689.65,692.3833357,502690,11955,348054179,263729,52.46,13.95,-13.3
19-Aug-25,676.05,703,673.1,700.1,695.177101,1972248,40135,1371061647,879783,44.61,29.9,24.05
18-Aug-25,674.15,684.95,672.7,676.4,678.8881821,470828,11717,319639565,192059,40.79,12.25,2.25
14-Aug-25,666.95,666.95,657.9,664.55,662.2491993,210137,5960,139163060,81637,38.85,9.05,-2.4
13-Aug-25,656.2,666.95,656.2,663.6,663.6008353,1399718,8931,928854034,1161149,82.96,10.75,7.4
12-Aug-25,651.75,660.85,651,653.9,655.5432041,1803626,18144,1182354767,1321018,73.24,9.85,2.15
11-Aug-25,633.05,654.8,627.3,653.8,647.2027962,891851,17629,577208461,307963,34.53,27.5,20.75
08-Aug-25,647.5,653,630.2,633.3,640.5619801,1013744,34416,649365864,550794,54.33,22.8,-14.2
07-Aug-25,648.5,651.3,635.8,647.5,641.861053,1227857,38585,788113587,597862,48.69,15.5,-1
06-Aug-25,655.85,657.95,650.45,653.05,653.3311561,669817,18031,437612315,348792,52.07,7.5,-2.8
05-Aug-25,655.25,659,650.45,654.6,653.86539,756422,20325,494598166,397817,52.59,8.55,-0.65
04-Aug-25,649.05,656.7,645.65,653.65,653.3785699,600053,15591,392061771,387516,64.58,11.05,4.6
01-Aug-25,667.4,668.95,647.2,648.75,651.3455608,5379025,51772,3503604055,4041174,75.13,21.75,-18.65
31-Jul-25,660,673.4,652.05,666.05,665.5709936,841456,18944,560048706,367851,43.72,21.35,6.05
30-Jul-25,691.95,691.95,665.45,668.4,669.5556198,1485586,47098,994682455,744059,50.09,26.5,-23.55
29-Jul-25,682.3,694.1,680.95,692.4,688.1714047,449521,14167,309347498,219973,48.93,13.15,10.1
28-Jul-25,688.35,700.6,678.8,682.3,689.0887161,667500,12554,459966718,269594,40.39,21.8,-6.05
25-Jul-25,700.6,702.05,685,687.3,690.9783175,993381,24535,686404732,532088,53.56,17.05,-13.3
24-Jul-25,693,706.5,692.95,700.6,702.1961697,1423446,29033,999538329,692038,48.62,13.55,7.6
23-Jul-25,677.5,692.95,676.65,690.2,688.6211249,674531,12635,464496296,242657,35.97,16.3,12.7
22-Jul-25,688.15,688.45,672.5,673.3,677.7784468,388954,10339,263624638,165084,42.44,15.95,-14.85
21-Jul-25,682.65,688.65,671.25,687.3,681.1884786,352178,8893,239899596,132211,37.54,17.4,4.65
18-Jul-25,683.3,685.85,678,680.15,681.7118968,488863,13952,333263723,210759,43.11,7.85,-3.15
17-Jul-25,679.3,686.75,677.95,681.75,683.4365967,689822,13924,471449600,354098,51.33,8.8,2.45
16-Jul-25,684,684,676.35,679,678.967541,559167,16407,379656243,301214,53.87,7.65,-5
15-Jul-25,674.65,686.3,674.6,684.95,681.0258261,337604,8342,229917043,134086,39.72,11.7,10.3
14-Jul-25,681.75,681.75,672.05,674.5,676.8389939,432729,10467,292887861,221997,51.3,9.7,-7.25
11-Jul-25,691.3,698.5,677.25,681.6,687.8356102,361537,10438,248678023,148890,41.18,21.25,-9.7
10-Jul-25,692.4,696.3,685.05,695.5,691.3765672,976211,22180,674929410,556260,56.98,11.25,3.1
09-Jul-25,688.6,695,688.6,692.85,692.089588,720041,15614,498332879,363877,50.54,6.4,4.25
08-Jul-25,691.4,696.9,687.2,693.25,691.9507845,1366744,24493,945719583,529285,38.73,9.7,1.85
07-Jul-25,693.85,693.85,683.7,688.85,688.7724315,402068,8584,276933354,202822,50.44,10.15,-5
04-Jul-25,690.4,693.2,686.2,688.95,688.8520099,666288,18546,458973828,280798,42.14,7,-1.45
03-Jul-25,694.5,696.85,688.7,690.4,692.6910713,536755,10217,371805396,237265,44.2,8.15,-4.1
02-Jul-25,683.95,692,680.7,688.4,687.7362865,1052411,21640,723781233,441672,41.97,11.3,4.45
01-Jul-25,688.1,693.8,680.35,683.95,686.4345144,1043986,26573,716628023,327898,31.41,13.45,-4.15
30-Jun-25,689.9,691.95,685,688.05,688.8274644,628166,11559,432697993,342886,54.59,6.95,-1.85
27-Jun-25,684.15,691,683.1,686.7,688.1378111,751398,17880,517065375,360211,47.94,7.9,2.55
26-Jun-25,676.95,683.75,674.65,683,679.3744691,481057,8807,326817844,228678,47.54,9.1,6.05
25-Jun-25,676.05,678.8,673.4,674.4,675.9227638,515678,10532,348558499,292663,56.75,5.4,-1.65
24-Jun-25,677.3,686.6,672.45,673.55,679.8987851,1195970,25554,813138550,426816,35.69,14.15,-3.75
23-Jun-25,671.4,675.7,666.25,671.3,671.4238546,590738,9551,396635585,323900,54.83,9.45,-0.1
20-Jun-25,674.75,678.85,670.2,676.1,675.4725734,394252,8813,266306413,157057,39.84,8.65,1.35
19-Jun-25,671.25,676,666.8,672.2,671.4710781,479290,11526,321829373,185749,38.76,9.2,0.95
18-Jun-25,673.4,679.45,668,670.1,673.0319933,915974,31444,616479807,388183,42.38,11.45,-3.3
17-Jun-25,687,687.05,672,675,678.1044572,1763584,50808,1195894171,645502,36.6,15.05,-12
16-Jun-25,709.6,714,672.75,686.7,685.2926448,1919077,40137,1315129353,724819,37.77,41.25,-22.9
