Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-Aug-25,3098,3098,3050.55,3053.65,3069.33122,84551,5089,259515024,49608,58.67,47.45,-44.35
21-Aug-25,3115.05,3123,3083.1,3101.2,3107.794835,56847,5407,176668813,22838,40.17,39.9,-13.85
20-Aug-25,3016.1,3102.1,3012,3097.4,3067.458297,103099,7844,316251883,49959,48.46,90.1,81.3
19-Aug-25,3015,3024.9,3010,3016.15,3016.962969,166183,15009,501367957,44804,26.96,14.9,1.15
18-Aug-25,3059.95,3059.95,3003.9,3011.95,3014.483167,93061,6164,280530818,67946,73.01,56.05,-48
14-Aug-25,3035.6,3055,3017.9,3021.9,3032.146059,150008,6664,454846166,116312,77.54,37.1,-13.7
13-Aug-25,3039.95,3045.85,3029,3035.6,3037.280585,69512,8167,211127448,38144,54.87,16.85,-4.35
12-Aug-25,3042.2,3095.45,3025.8,3035.5,3058.485161,52665,4964,161075121,20332,38.61,69.65,-6.7
11-Aug-25,3048,3049.15,3021.9,3040.35,3041.619922,82049,5201,249561873,60129,73.28,27.25,-7.65
08-Aug-25,3047,3058,3025,3034.5,3043.775089,80383,9516,244667773,40469,50.35,33,-12.5
07-Aug-25,3029.85,3050.95,3012,3047.15,3025.186804,88044,6401,266349547,55116,62.6,38.95,17.3
06-Aug-25,3072.8,3072.8,3027,3031.6,3037.905609,37832,4559,114930045,22613,59.77,45.8,-41.2
05-Aug-25,3072,3077.45,3042.4,3062.15,3057.741682,131048,11009,400710932,60306,46.02,35.05,-9.85
04-Aug-25,3014.6,3080,2992.05,3074.9,3032.577202,169679,16078,514564667,88291,52.03,87.95,60.3
01-Aug-25,3021.45,3037.3,3000,3003.1,3015.918786,262947,23336,793026797,196030,74.55,37.3,-18.35
31-Jul-25,3047.55,3060,3015.05,3037.35,3031.825978,118847,7943,360323422,80101,67.4,44.95,-10.2
30-Jul-25,3060,3070,3048.05,3053.55,3058.943802,100412,11598,307154665,59275,59.03,21.95,-6.45
29-Jul-25,3069.3,3074.5,3041,3056.55,3056.516824,163690,11635,500321239,61687,37.69,33.5,-12.75
28-Jul-25,3113,3113.05,3070,3079.05,3093.452138,224281,15478,693802539,126156,56.25,43.05,-33.95
25-Jul-25,3149.95,3157.25,3127,3134.35,3141.589089,101533,12885,318974965,46197,45.5,30.25,-15.6
24-Jul-25,3165,3174.3,3140,3150.15,3152.282214,142183,13571,448200942,103638,72.89,34.3,-14.85
23-Jul-25,3169,3182.95,3159,3179.35,3170.737353,78657,8312,249400688,40350,51.3,23.95,10.35
22-Jul-25,3160.9,3179.65,3154.25,3159.75,3163.633482,127085,10520,402050361,89087,70.1,25.4,-1.15
21-Jul-25,3221.7,3221.7,3152.5,3158.4,3164.087364,66767,7294,211256621,39189,58.7,69.2,-63.3
18-Jul-25,3213.05,3227.95,3186.9,3189.85,3203.399268,95407,7121,305626714,70086,73.46,41.05,-23.2
17-Jul-25,3230,3242.05,3204,3208.5,3225.929257,92023,7367,296859688,71286,77.47,38.05,-21.5
16-Jul-25,3225,3245,3220.35,3232.45,3235.109604,124256,11435,401981779,79323,63.84,24.65,7.45
15-Jul-25,3210,3259.8,3208.4,3252.8,3244.577545,236281,6646,766632027,28720,12.16,51.4,42.8
14-Jul-25,3281.4,3281.4,3200.5,3223.2,3221.11264,191459,13449,616711005,119030,62.17,80.9,-58.2
11-Jul-25,3314,3337.25,3261.35,3265.4,3287.378832,453988,45736,1492430541,312042,68.73,75.9,-48.6
10-Jul-25,3385,3399.75,3356.35,3382.3,3380.423772,268234,8264,906744590,36867,13.74,43.4,-2.7
09-Jul-25,3416.6,3416.6,3366.9,3384.35,3387.247775,79903,9538,270651259,46955,58.76,49.7,-32.25
08-Jul-25,3410,3424,3394.05,3406.35,3406.473493,377142,15549,1284724226,48608,12.89,29.95,-3.65
07-Jul-25,3420.9,3426.35,3408.2,3411.95,3417.228203,77567,6382,265064140,41842,53.94,18.15,-8.95
04-Jul-25,3401.1,3426,3388.65,3420.95,3413.399233,170988,9758,583650308,32551,19.04,37.35,19.85
03-Jul-25,3434.9,3435,3398.15,3400.75,3412.703646,113506,9889,387362340,81101,71.45,36.85,-34.15
02-Jul-25,3450.05,3489.85,3420.1,3423.35,3448.567027,54493,3550,187922763,25515,46.82,69.75,-26.7
01-Jul-25,3460.95,3485,3414.45,3429.45,3432.020581,221565,10518,760415640,24250,10.94,70.55,-31.5
30-Jun-25,3444.95,3465,3430.15,3461.05,3454.14424,80588,6962,278362576,20114,24.96,34.85,16.1
27-Jun-25,3455,3466.65,3430.75,3443.15,3449.495148,35961,3200,124047295,14924,41.5,35.9,-11.85
26-Jun-25,3447.25,3451,3416,3441.65,3435.045734,60021,6008,206174880,29920,49.85,35,-5.6
25-Jun-25,3409.6,3449.9,3400.9,3445.65,3421.959118,18541,2090,63446544,8265,44.58,49,36.05
24-Jun-25,3430.5,3442.8,3382.4,3390.2,3398.723416,771522,25978,2622189887,71077,9.21,60.4,-40.3
23-Jun-25,3414.3,3429.3,3370.1,3393.4,3392.821603,136998,8910,464809774,108460,79.17,59.2,-20.9
20-Jun-25,3424.35,3445.6,3408.5,3434.35,3419.265063,419497,9896,1434371436,316711,75.5,37.1,10
19-Jun-25,3448.7,3452,3413.35,3424.25,3427.282892,53098,6447,181981867,23547,44.35,38.65,-24.45
18-Jun-25,3524.35,3539.45,3443.65,3452.2,3482.217735,51232,4234,178400979,16903,32.99,95.8,-72.15
17-Jun-25,3510,3522.3,3488.2,3515.25,3514.391514,570631,18378,2005420744,33503,5.87,34.1,5.25
16-Jun-25,3423.25,3508.2,3423.25,3495.35,3492.900861,237333,18279,828980640,66333,27.95,84.95,72.1
13-Jun-25,3400,3450,3392.75,3447.1,3430.268706,64111,4315,219917957,18487,28.84,57.25,47.1
12-Jun-25,3477,3477,3423.1,3433.95,3451.320163,180783,11558,623940013,130235,72.04,53.9,-43.05
11-Jun-25,3465.15,3489.2,3450,3472.15,3470.665809,111532,9080,387090299,57605,51.65,39.2,7
10-Jun-25,3440,3485,3424,3463.5,3463.053886,313572,20198,1085916733,62698,19.99,61,23.5
09-Jun-25,3394.3,3435.25,3390.05,3423.7,3421.263261,159154,12085,544507733,52283,32.85,45.2,29.4
06-Jun-25,3371.95,3390,3358,3385.7,3375.383584,147321,12728,497264885,30834,20.93,32,13.75
05-Jun-25,3429.25,3429.3,3364.2,3371.95,3383.476026,62839,6850,212614250,38542,61.33,65.1,-57.3
04-Jun-25,3388.95,3395.9,3370.6,3380.55,3385.108647,107633,7685,364349399,75942,70.56,25.3,-8.4
03-Jun-25,3449.95,3472.45,3399.4,3405.05,3415.989379,919365,54188,3140541075,94439,10.27,73.05,-44.9
02-Jun-25,3462.7,3462.7,3418.3,3449.8,3443.612536,163215,16965,562049220,41344,25.33,44.4,-12.9
30-May-25,3502.25,3502.3,3452.4,3464.5,3482.140533,55453,5690,193095139,20065,36.18,49.9,-37.75
29-May-25,3500.05,3531.9,3486.2,3497.2,3502.226178,60523,6462,211965235,26834,44.34,45.7,-2.85
28-May-25,3512,3526.45,3492.95,3498.15,3501.690809,44196,4774,154760727,19238,43.53,33.5,-13.85
27-May-25,3537.35,3538.8,3481.85,3498.9,3501.200595,545274,34275,1909113653,79095,14.51,56.95,-38.45
26-May-25,3525,3545.35,3508.9,3538.05,3538.618936,120342,9283,425844480,36907,30.67,36.45,13.05
23-May-25,3479,3534.55,3470,3514,3514.540968,56031,6296,196923245,23381,41.73,64.55,35
22-May-25,3505,3505,3451.95,3479,3474.814833,87035,7600,302430509,43596,50.09,53.05,-26
21-May-25,3503.2,3535,3499,3524.95,3524.174373,89492,5998,315385413,36046,40.28,36,21.75
20-May-25,3540,3558.95,3492.8,3498.05,3515.73315,276279,19166,971323239,57819,20.93,66.15,-41.95
19-May-25,3549.25,3549.5,3503.6,3519.2,3523.8026,202305,12503,712882885,78381,38.74,45.9,-30.05
16-May-25,3580.95,3586,3547,3562.95,3557.687255,239863,11580,853357538,149512,62.33,39,-18
15-May-25,3554,3599,3514.8,3580.75,3563.057479,117209,10013,417622404,46680,39.83,84.2,26.75
14-May-25,3515.95,3561,3507.25,3549.05,3540.946925,58427,5853,206886906,24530,41.98,53.75,33.1
13-May-25,3623.95,3623.95,3510.2,3515.95,3541.560144,130770,12166,463129820,64318,49.18,113.75,-108
12-May-25,3500.1,3630,3500.1,3620.3,3572.830823,172535,15783,616438366,107012,62.02,129.9,120.2
09-May-25,3380,3445.15,3380,3442.2,3426.855813,50372,4337,172617581,30833,61.21,65.15,62.2
08-May-25,3448.9,3475.15,3430,3447.45,3453.898388,52602,4934,181681963,20415,38.81,45.15,-1.45
07-May-25,3449.95,3458.35,3421.3,3445.2,3440.390171,40003,3329,137625928,22437,56.09,37.05,-4.75
06-May-25,3456.45,3473.8,3435.95,3458.95,3457.61503,88329,7293,305407678,43063,48.75,37.85,2.5
05-May-25,3445.05,3503.8,3445.05,3455.15,3472.739651,47732,2970,165760809,30230,63.33,58.75,10.1
02-May-25,3474.5,3491.8,3421.1,3443.8,3457.972464,54402,3685,188120618,35689,65.6,70.7,-30.7
30-Apr-25,3471.5,3509.6,3367.85,3429.65,3468.720328,52154,3825,180907640,26483,50.78,141.75,-41.85
29-Apr-25,3444.1,3495,3431.2,3471.5,3465.36269,107574,7893,372782926,49288,45.82,63.8,27.4
28-Apr-25,3431,3457.95,3405,3443.55,3435.675595,69145,4361,237559789,34782,50.3,52.95,12.55
25-Apr-25,3402.6,3477.55,3402.6,3447.35,3441.639023,67985,7413,233979829,19883,29.25,74.95,44.75
24-Apr-25,3401.9,3412.3,3389,3401.25,3400.241135,60547,3992,205874400,42158,69.63,23.3,-0.65
23-Apr-25,3358.05,3420,3337.55,3412.3,3396.481603,153398,13435,521013485,68571,44.7,82.45,54.25
22-Apr-25,3324.95,3333.7,3294.45,3318.05,3317.485798,170295,12129,564951244,117070,68.75,39.25,-6.9
21-Apr-25,3293.95,3353.85,3285.85,3321.6,3327.297955,135470,11094,450749054,74487,54.98,68,27.65
17-Apr-25,3240,3304,3218.5,3298.95,3247.020679,70459,6741,228781830,38959,55.29,85.5,58.95
16-Apr-25,3274.75,3278.2,3230.1,3272.75,3262.458393,87689,4896,286081714,63503,72.42,48.1,-2
15-Apr-25,3300.05,3310,3240.2,3247.7,3258.960327,161796,11220,527286745,104458,64.56,69.8,-52.35
11-Apr-25,3290,3298.4,3205.25,3232.3,3244.143005,229229,16912,743651657,137786,60.11,93.15,-57.7
