Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-Aug-25,1427.85,1470,1427.4,1447.45,1453.691187,215629,7892,313457977,68751,31.88,42.6,19.6
13-Aug-25,1428.95,1434,1422.2,1426,1426.918963,317483,8675,453022513,120297,37.89,11.8,-2.95
12-Aug-25,1429.8,1441,1421.15,1424.1,1427.431393,704625,14478,1005803845,382156,54.24,19.85,-5.7
11-Aug-25,1420,1433.2,1414.5,1428,1424.482154,130477,9205,185862158,65957,50.55,18.7,8
08-Aug-25,1428.95,1433.35,1417.05,1423.65,1424.265903,317247,16554,451844085,230315,72.6,16.3,-5.3
07-Aug-25,1435,1442.7,1414.55,1437.65,1426.014686,195425,6380,278678920,142654,73,28.15,2.65
06-Aug-25,1455.7,1455.7,1430.3,1435.75,1442.143741,96277,5059,138845273,48781,50.67,25.4,-19.95
05-Aug-25,1475.2,1479.9,1454.75,1459.75,1459.61963,491243,8755,717027926,406000,82.65,25.15,-15.45
04-Aug-25,1466,1482.5,1451.2,1480.35,1465.294254,144987,10425,212448618,74200,51.18,31.3,14.35
01-Aug-25,1496.95,1498.75,1466.1,1470.6,1480.074784,150754,8360,223127194,71262,47.27,32.65,-26.35
31-Jul-25,1507.55,1526.7,1497.1,1508.6,1509.479711,827621,11605,1249277108,152157,18.38,29.6,1.05
30-Jul-25,1510.05,1521.5,1505.7,1519.05,1514.760838,159917,6779,242236009,97275,60.83,15.8,9
29-Jul-25,1510.45,1517.2,1496.6,1513.85,1508.002125,341189,19794,514513737,155279,45.51,20.6,3.4
28-Jul-25,1518.95,1519.35,1482.7,1516.1,1507.091443,287153,16177,432765829,119766,41.71,36.65,-2.85
25-Jul-25,1543,1549.75,1511.35,1515.6,1524.514145,463200,30329,706154952,311786,67.31,38.4,-27.4
24-Jul-25,1581,1581,1548.2,1553.55,1557.835768,380211,14311,592306295,204316,53.74,32.8,-27.45
23-Jul-25,1579.8,1592.4,1551,1574.4,1580.209371,239856,11330,379022699,147472,61.48,41.4,-5.4
22-Jul-25,1579.95,1585.6,1567,1570.1,1573.594003,571499,21780,899307399,296822,51.94,18.6,-9.85
21-Jul-25,1579.15,1589,1568.25,1584.6,1578.985266,120472,7358,190223513,61540,51.08,20.75,5.45
18-Jul-25,1588.05,1599,1579.9,1586.55,1587.568346,369627,3592,586808125,84023,22.73,19.1,-1.5
17-Jul-25,1608.55,1609.75,1580.5,1582.7,1594.15121,159573,6868,254383491,104917,65.75,29.25,-25.85
16-Jul-25,1580,1612.1,1579.8,1608.6,1600.612092,60718,3183,97185965,24808,40.86,32.3,28.6
15-Jul-25,1565,1603.8,1565,1584.8,1585.327064,896680,16746,1421531072,155802,17.38,38.8,19.8
14-Jul-25,1589.2,1593.95,1560,1570.45,1590.468722,1462073,16995,2325381376,1356794,92.8,33.95,-18.75
